Country Code,Year,Sex Ratio
TLS,2002,1.8666666666666667
TON,2002,1.5
TTO,2002,4.617647058823529
TUN,2002,2.015625
TUR,2002,3.0818505338078293
TZA,2002,2.9983193277310924
UGA,2002,4.4628180039138945
UKR,2002,6.552040816326531
URY,2002,3.811023622047244
USA,2002,3.9118162972412693
UZB,2002,3.6292134831460676
VCT,2002,7.0
VEN,2002,5.65546218487395
VNM,2002,1.8611799702528509
VUT,2002,3.888888888888889
WSM,2002,3.0
YEM,2002,1.6719576719576719
ZAF,2002,3.3136094674556213
ZMB,2002,2.684813753581662
ZWE,2002,2.07942238267148
AFG,2003,1.0941446613088404
AGO,2003,4.163751987281399
ALB,2003,2.1041666666666665
ARE,2003,4.276595744680851
ARG,2003,4.071140939597315
ARM,2003,3.8125
ATG,2003,inf
AUS,2003,3.4941724941724943
AUT,2003,3.041095890410959
AZE,2003,3.816901408450704
BDI,2003,2.3016627078384797
BEL,2003,2.8193018480492813
BEN,2003,3.1637010676156585
BFA,2003,2.988888888888889
BGD,2003,2.8225172074729596
BGR,2003,3.2548076923076925
BHR,2003,5.333333333333333
BHS,2003,7.0
BIH,2003,3.7246376811594204
BLR,2003,6.402020202020202
BLZ,2003,6.333333333333333
BOL,2003,2.2830188679245285
BRA,2003,3.7212847033206313
BRB,2003,1.0
BRN,2003,5.0
BTN,2003,2.0
BWA,2003,3.375757575757576
CAF,2003,3.631372549019608
CAN,2003,3.1554216867469878
CHE,2003,2.2037617554858935
CHL,2003,5.690987124463519
CHN,2003,1.3394036061026353
CIV,2003,4.888188976377953
CMR,2003,3.12958435207824
COD,2003,4.077225130890052
COG,2003,2.507936507936508
COL,2003,2.843100189035917
COM,2003,1.8095238095238095
CPV,2003,4.866666666666666
CRI,2003,5.615384615384615
CUB,2003,3.102409638554217
CYP,2003,2.5
CZE,2003,4.329588014981273
DEU,2003,3.098315885298134
DJI,2003,2.206896551724138
DNK,2003,2.9507042253521125
DOM,2003,4.654761904761905
DZA,2003,1.7186234817813766
ECU,2003,2.526470588235294
EGY,2003,1.8071794871794873
ESP,2003,3.2679127725856696
EST,2003,5.019607843137255
ETH,2003,2.2229748035762666
FIN,2003,3.2838427947598254
FJI,2003,1.8666666666666667
FRA,2003,2.7724164133738602
FSM,2003,3.6666666666666665
GAB,2003,4.2272727272727275
GBR,2003,3.1549155908639523
GEO,2003,3.68
GHA,2003,6.52887537993921
GIN,2003,1.9430379746835442
GMB,2003,2.169811320754717
GNB,2003,3.0
GNQ,2003,3.6956521739130435
GRC,2003,4.345454545454546
GRD,2003,inf
GTM,2003,5.2105263157894735
GUY,2003,3.6129032258064515
HND,2003,4.615384615384615
HRV,2003,4.2204724409448815
HTI,2003,1.2848101265822784
HUN,2003,4.090702947845805
IDN,2003,2.80316091954023
IND,2003,1.4429720656236145
IRL,2003,3.47
IRN,2003,1.742822966507177
IRQ,2003,2.3596059113300494
ISL,2003,3.375
ISR,2003,4.746666666666667
ITA,2003,3.1260162601626016
JAM,2003,3.3333333333333335
JOR,2003,1.9310344827586208
JPN,2003,2.7827476038338657
KAZ,2003,5.411194833153929
KEN,2003,3.1007685738684883
KGZ,2003,5.0
KHM,2003,1.9312714776632303
KIR,2003,5.0
KWT,2003,3.75
LAO,2003,1.7668711656441718
LBN,2003,1.6666666666666667
LBR,2003,1.4757281553398058
LBY,2003,2.7974683544303796
LCA,2003,11.0
LKA,2003,3.260824742268041
LSO,2003,4.106951871657754
LTU,2003,5.198198198198198
LUX,2003,2.4705882352941178
LVA,2003,4.461538461538462
MAR,2003,1.7484499557130204
MDA,2003,6.514705882352941
MDG,2003,2.4844606946983547
MDV,2003,5.5
MEX,2003,5.074728260869565
MKD,2003,2.8
MLI,2003,1.5390243902439025
MLT,2003,2.0
MMR,2003,2.8540268456375837
MNE,2003,2.8
MNG,2003,4.265486725663717
MOZ,2003,4.119760479041916
MRT,2003,1.6615384615384616
MUS,2003,2.875
MWI,2003,4.076923076923077
MYS,2003,3.2114285714285713
NAM,2003,4.229166666666667
NER,2003,1.9607390300230947
NGA,2003,2.6444967628016482
NIC,2003,3.3734939759036147
NLD,2003,2.1833740831295843
NOR,2003,2.661764705882353
NPL,2003,6.15819209039548
NZL,2003,2.5821917808219177
OMN,2003,6.894736842105263
PAK,2003,2.9448764867337602
PAN,2003,8.761904761904763
PER,2003,2.1319444444444446
PHL,2003,2.8629032258064515
PNG,2003,2.979591836734694
POL,2003,6.080545229244114
PRT,2003,3.551219512195122
PRY,2003,2.8545454545454545
QAT,2003,8.0
ROU,2003,5.124694376528117
RUS,2003,5.581843743723639
RWA,2003,2.4989106753812638
SAU,2003,5.177304964539007
SDN,2003,1.9318600368324126
SEN,2003,3.2714285714285714
SGP,2003,1.783132530120482
SLB,2003,14.8
SLE,2003,2.068062827225131
SLV,2003,3.349514563106796
SOM,2003,3.316753926701571
SRB,2003,3.1198738170347005
SSD,2003,3.0310077519379846
STP,2003,2.0
SUR,2003,3.7241379310344827
SVK,2003,6.758241758241758
SVN,2003,4.142857142857143
